jul 19/10:11:17.012 DEBUG2 : 		

StartSession()

jul 19/10:11:17.012 INFO   : Debug Log(info): Loading the CMSIS-DAP driver
jul 19/10:11:17.012 DEBUG2 : 		-> ConnectToHardware()
jul 19/10:11:17.012 DEBUG2 : 		-> CreateJetTerminal()
jul 19/10:11:17.012 DEBUG2 : 		<- CreateJetTerminal()
jul 19/10:11:17.012 DEBUG2 : 		-> AcquireSigAPIPtr()
jul 19/10:11:17.012 DEBUG2 : 		  SigAPISetPath('C:\Program Files\IAR Systems\Embedded Workbench 9.0\arm\bin\jet\bin')
jul 19/10:11:17.020 DEBUG2 : 		<- AcquireSigAPIPtr()
jul 19/10:11:17.020 DEBUG2 : 		-> CreateSigProbe()
jul 19/10:11:17.023 DEBUG2 : 		  SigProbe version: 1.24
jul 19/10:11:17.023 DEBUG2 : 		<- CreateSigProbe()
jul 19/10:11:17.023 DEBUG2 : 		-> SigProbeInit()
jul 19/10:11:17.024 INFO   : Debug Log(info): Probe: CMSIS-DAP probe SW module ver 1.24

jul 19/10:11:17.024 INFO   : Probe: CMSIS-DAP probe SW module ver 1.24

jul 19/10:11:17.025 DEBUG2 : 		<- SigProbeInit()
jul 19/10:11:17.025 DEBUG2 : 		-> ConnectToProbe()
jul 19/10:11:17.026 DEBUG2 : 		  ISigProbe::EnumScan()
jul 19/10:11:17.037 DEBUG2 : 		  scanning finished: found 1 probes
jul 19/10:11:17.056 DEBUG2 : 		    connection Serial No: CMSIS-DAP v1:0409170241ffcce800000000000000000000000097969906
jul 19/10:11:17.073 DEBUG2 : 		    connection found probes: 
jul 19/10:11:17.094 INFO   : Debug Log(info): Probe: Connecting to CMSIS-DAP v1:0409170241ffcce800000000000000000000000097969906 firmware v.2.0.0

jul 19/10:11:17.094 INFO   : Probe: Connecting to CMSIS-DAP v1:0409170241ffcce800000000000000000000000097969906 firmware v.2.0.0

jul 19/10:11:17.094 DEBUG2 : 		<- ConnectToProbe()
jul 19/10:11:17.094 DEBUG2 : 		-> CreateSigEmus()
jul 19/10:11:17.094 DEBUG2 : 		  ISigAPI::CreateInstance('ISigEmu', 'EARM', '')
jul 19/10:11:17.098 DEBUG2 : 		Core 0: sigEmu->LinkAttach(ISigProbe)
jul 19/10:11:17.098 DEBUG2 : 		  core 0: IsigEmu::ParamSet('Emulator', 'cmsisdap')
jul 19/10:11:17.098 DEBUG2 : 		  core 0: IsigEmu::ParamSet('Processor', 'Cortex-M4')
jul 19/10:11:17.098 DEBUG2 : 		  core 0: IsigEmu::ParamSet('JtagHeader', 'ARM-SWD')
jul 19/10:11:17.098 DEBUG2 : 		  core 0: IsigEmu::ParamSet('CoreSightSWJ', 'SWD')
jul 19/10:11:17.098 DEBUG2 : 		  core 0: IsigEmu::ParamSet('JTagSpeed', 'auto')
jul 19/10:11:17.098 DEBUG2 : 		  core 0: IsigEmu::ParamSet('BoardCfg', '-auto')
jul 19/10:11:17.098 DEBUG2 : 		  core 0: IsigEmu::ParamSet('JtagInitDelay', '200,r:300')
jul 19/10:11:17.098 DEBUG2 : 		  core 0: IsigEmu::ParamSet('BigEndian', '0')
jul 19/10:11:17.098 DEBUG2 : 		  ISigEmu::LinkAttach('SigTerminalLog'...)
jul 19/10:11:17.098 DEBUG2 : 		Core 0: sigEmu->LinkAttach(SigTerminalLog)
jul 19/10:11:17.098 DEBUG2 : 		<- CreateSigEmus()
jul 19/10:11:17.098 DEBUG2 : 		-> CreateInterfaceComProtocol()
jul 19/10:11:17.098 DEBUG2 : 		  ISigProbe::AcquireInterface('ComProtocol')
jul 19/10:11:17.098 DEBUG2 : 		<- CreateInterfaceComProtocol()
jul 19/10:11:17.099 DEBUG2 : 		-> CollectCoreNames()
jul 19/10:11:17.099 DEBUG2 : 		<- CollectCoreNames()
jul 19/10:11:17.099 DEBUG2 : 		-> DoIceConnect()
jul 19/10:11:17.099 DEBUG2 : 		  core 0: IsigEmu::ParamSet('BoardDID', '')
jul 19/10:11:17.099 DEBUG2 : 		Core 0: IceConnect(...)
jul 19/10:11:17.102 DEBUG2 : 		<- DoIceConnect()
jul 19/10:11:17.102 DEBUG2 : 		-> DoIceInit()
jul 19/10:11:17.102 DEBUG2 : 		Core 0: IceInit(...)
jul 19/10:11:17.115 DEBUG2 : 		ISigEmu::IceVersion(1ea)
jul 19/10:11:17.115 INFO   : Debug Log(info): Emulation layer version 4.90
jul 19/10:11:17.115 DEBUG2 : 		ISigEmu::IceStatus(0)
jul 19/10:11:17.115 DEBUG2 : 		<- DoIceInit()
jul 19/10:11:17.115 DEBUG2 : 		-> CreateCmdInterpreter()
jul 19/10:11:17.115 DEBUG2 : 		  ISigProbe::CreateInstance(..., 'SigCmdInterpreter', '')
jul 19/10:11:17.118 DEBUG2 : 		<- CreateCmdInterpreter()
jul 19/10:11:17.118 DEBUG2 : 		  ISigCmdInterpreter::LinkAttach('ISigEmu',...)
jul 19/10:11:17.118 DEBUG2 : 		-> AcquireA2DInterface()
jul 19/10:11:17.118 DEBUG2 : 		  ISigProbe::AcquireInterface('ISigA2D')
jul 19/10:11:17.118 ERROR  :   ConnectToHardware(): Failed to create sigA2D object
jul 19/10:11:17.130 INFO   : Debug Log(info): Notification to core-connect hookup.

jul 19/10:11:17.131 INFO   : Notification to core-connect hookup.

jul 19/10:11:17.131 DEBUG2 : 		<Call to _ExecDeviceCoreConnect: macro undefined
jul 19/10:11:17.131 DEBUG2 : 		<Call to execUserCoreConnect: macro undefined
jul 19/10:11:17.138 INFO   : Debug Log(info): Connected DAP v1 on SWD. Detected DP ID=0x2ba01477.

jul 19/10:11:17.138 INFO   : Connected DAP v1 on SWD. Detected DP ID=0x2ba01477.

jul 19/10:11:17.279 INFO   : Debug Log(info): Connecting to TAP#0 DAP AHB-AP-CM port 0x0 (IDR=0x2477'0011).

jul 19/10:11:17.279 INFO   : Connecting to TAP#0 DAP AHB-AP-CM port 0x0 (IDR=0x2477'0011).

jul 19/10:11:17.281 INFO   : Debug Log(info): Recognized CPUID=0x410fc241 Cortex-M4 r0p1 arch ARMv7-M

jul 19/10:11:17.281 INFO   : Recognized CPUID=0x410fc241 Cortex-M4 r0p1 arch ARMv7-M

jul 19/10:11:17.295 INFO   : Debug Log(info): Debug resources: 6 instruction comparators, 4 data watchpoints.

jul 19/10:11:17.295 INFO   : Debug resources: 6 instruction comparators, 4 data watchpoints.

jul 19/10:11:17.335 DEBUG2 : 		  ConnectToHardware(), checking status (#1): Core 0: CpuStatus(status = <0x3: CPU_STATUS_MPOWER | CPU_STATUS_MRUN>) = 0
jul 19/10:11:17.335 INFO   : Debug Log(minor): CPU status OK
